Feature ID,Category,Feature Name,Description,User Benefit,Location,Entry Point,Access Requirement,KYC Requirement,Financial Requirement,Observed Status,Availability,Platform,Business Rule,Fee,Limit,Evidence,Screenshot ID,Notes,Comparison Tag
"FT-BRANCH-001","شعب","لیست شعب","نمایش شهر/شعب فعال و به‌زودی","اعتماد و تحویل حضوری","/pwa/branches","پروفایل > شعب","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","۲۳ شهر/شعبه فعال و اراک/اردبیل به‌زودی مشاهده شد","ندارد","ندارد","لینک شعب استخراج شد","","اسکرین‌شات قابل استفاده ندارد","Branch"
"FT-BRANCH-002","شعب","جزئیات شعبه","نمایش آدرس و ساعت کاری شعبه نمونه","برنامه‌ریزی مراجعه","/pwa/branches/2","کلیک شعبه","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","ساعت کاری شنبه تا چهارشنبه ۱۰ تا ۱۸ و پنجشنبه ۱۰ تا ۱۲:۳۰ برای شعبه بازار","ندارد","ندارد","جزئیات شعبه بازار مشاهده شد","","اسکرین‌شات قابل استفاده ندارد","Branch"
"FT-PUBLIC-001","قیمت","صفحه عمومی قیمت طلا","لیست قیمت طلا، سکه، صندوق‌ها، نمودار و جزئیات","جذب/آموزش قبل از ورود","/markets/gold","سایت عمومی","عمومی","ندارد","ندارد","مشاهده‌شده","فعال","Public","بروزرسانی زمان‌دار قیمت نمایش داده شد","ندارد","ندارد","متن صفحه قیمت استخراج شد","","اسکرین‌شات قابل استفاده ندارد","Public"
"FT-PUBLIC-002","خرید عمومی","صفحه خرید فلزات گران‌بها","محاسبه‌گر خرید/فروش، مقایسه با سکه، کاتالوگ شمش، مراحل سرمایه‌گذاری","آموزش و تبدیل کاربر عمومی","/buy","سایت عمومی","عمومی","ندارد","ندارد","مشاهده‌شده","فعال","Public","ثبت‌نام، احراز زیر ۱ دقیقه، خرید و تحویل فیزیکی در ۴ مرحله معرفی شد","محاسبه بدون کارمزد ذکر شد","حداقل ۰.۰۰۱ گرم در input","متن صفحه عمومی خرید استخراج شد","","اسکرین‌شات قابل استفاده ندارد","Public"
"FT-PROD-001","شمش فیزیکی","صفحه محصول شمش","جزئیات محصول فیزیکی: وزن، خلوص، پلمب، فاکتور، قیمت و FAQ","اعتماد به خرید فیزیکی","/product/zioto-1000-mgr-24-k","کاتالوگ عمومی","عمومی","ندارد","قیمت محصول","مشاهده‌شده","فعال","Public","وزن ۱ گرم، خلوص ۹۹۵، بسته‌بندی ضدجعل، فاکتور رسمی دارد","بدون اجرت و مالیات در ارزش پیشنهادی","وابسته به محصول","متن صفحه محصول استخراج شد","","اسکرین‌شات قابل استفاده ندارد","Physical"
"FT-SILVER-001","نقره","مسیر نقره","دارایی نقره با قیمت، خرید/فروش، واریز، برداشت، تحویل و تاریخچه","تنوع دارایی","asset=silver","تب نقره","ورود","احتمالاً لازم","موجودی/کیف پول","مشاهده‌شده","فعال","PWA","برای نقره shortcutهای وام/زرگر/قسطی دیده نشد","نامشخص","نامشخص","مسیرهای نقره متنی استخراج شد","","برای شمش فعلاً فقط benchmark جانبی است","Asset"
"FT-TRANSFER-001","انتقال طلا","انتقال طلا به کاربر دیگر","قابلیت مستقلی برای انتقال طلا در منوی خدمات پیدا نشد","ارسال طلا به دیگران","History tab only","جست‌وجو در خدمات و تاریخچه","ورود","احتمالاً لازم","موجودی طلا","یافت‌نشد","نامشخص","PWA","فقط تب تاریخچه انتقال طلا مشاهده شد","نامشخص","نامشخص","در Services لینک مستقل مشاهده نشد","melligold-FL-HISTORY-001-01-history-main.png","ممکن است در شرایط دیگر فعال شود اما در این حساب پیدا نشد","Transfer"
"FT-CANCEL-001","سفارش","لغو سفارش","قابلیت لغو سفارش در مسیرهای بررسی‌شده دیده نشد","کنترل خطا/تصمیم","History/Limit order","جست‌وجو در تاریخچه و سفارش خودکار","ورود","نامشخص","سفارش فعال لازم است","یافت‌نشد","نامشخص","PWA","بدون سفارش فعال قابل مشاهده نبود","نامشخص","نامشخص","در حساب سفارش فعالی نبود","","برای شمش باید وضعیت لغو طراحی شود","Order"
"FT-SORT-001","کاتالوگ","مرتب‌سازی محصول","گزینه مرتب‌سازی در کاتالوگ تحویل/محصول","پیدا کردن محصول مناسب","Shipment catalog","کاتالوگ تحویل","ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA","رفتار گزینه مرتب‌سازی تست نشد","ندارد","ندارد","متن «مرتب سازی» در کاتالوگ مشاهده شد","melligold-FL-SHIPMENT-002-01-home-delivery.png","برای شمش فیلتر وزن/عیار مهم‌تر است","Catalog"
"FT-APP-001","اپلیکیشن","نصب اپلیکیشن","لینک نصب اپلیکیشن در داشبورد/سایت عمومی","افزایش استفاده مکرر","Dashboard/Public nav","هدر/داشبورد","عمومی/ورود","ندارد","ندارد","مشاهده‌شده","فعال","PWA/Public","لینک adtrace نصب اپلیکیشن مشاهده شد","ندارد","ندارد","لینک نصب در خانه استخراج شد","","رفتار نصب تست نشد","App"
